from_country,to_country,count
Antarctica,Argentina,3
Antarctica,Australia,12
Antarctica,Austria,2
Antarctica,Belgium,2
Antarctica,Brazil,2
Antarctica,Bulgaria,1
Antarctica,Canada,12
Antarctica,Croatia,1
Antarctica,Czech Republic,1
Antarctica,Denmark,1
Antarctica,Finland,5
Antarctica,France,6
Antarctica,Germany,22
Antarctica,Greece,1
Antarctica,Hungary,2
Antarctica,Ireland,1
Antarctica,Israel,1
Antarctica,Italy,1
Antarctica,Japan,7
Antarctica,Macedonia,1
Antarctica,Mexico,1
Antarctica,Netherlands,4
Antarctica,New Zealand,2
Antarctica,Poland,3
Antarctica,Portugal,1
Antarctica,South Korea,2
Antarctica,Romania,1
Antarctica,Russia,12
Antarctica,Singapore,1
Antarctica,Slovakia,1
Antarctica,South Africa,5
Antarctica,Spain,1
Antarctica,Switzerland,4
Antarctica,Taiwan,1
Antarctica,Thailand,1
Antarctica,Ukraine,1
Antarctica,United Kingdom,26
Antarctica,United States,107
Argentina,Argentina,105
Argentina,Armenia,2
Argentina,Australia,71
Argentina,Austria,4
Argentina,Bahrain,1
Argentina,Belgium,22
Argentina,Bermuda,1
Argentina,Bolivia,1
Argentina,Brazil,11
Argentina,Bulgaria,1
Argentina,Canada,57
Argentina,Chile,20
Argentina,China,9
Argentina,Colombia,5
Argentina,Croatia,4
Argentina,Czech Republic,10
Argentina,Denmark,2
Argentina,Dominican Republic,2
Argentina,Ecuador,1
Argentina,Estonia,1
Argentina,Finland,10
Argentina,France,68
Argentina,Georgia,3
Argentina,Germany,172
Argentina,Gibraltar,1
Argentina,Greece,1
Argentina,Hong Kong,4
Argentina,Hungary,4
Argentina,India,1
Argentina,Indonesia,1
Argentina,Ireland,8
Argentina,Israel,14
Argentina,Italy,16
Argentina,Japan,73
Argentina,Latvia,1
Argentina,Lithuania,2
Argentina,Luxembourg,1
Argentina,Macedonia,1
Argentina,Malta,2
Argentina,Mauritius,2
Argentina,Mexico,21
Argentina,Moldova,1
Argentina,Morocco,2
Argentina,Netherlands,32
Argentina,New Zealand,12
Argentina,Norway,7
Argentina,Panama,1
Argentina,Paraguay,1
Argentina,Peru,5
Argentina,Philippines,1
Argentina,Poland,10
Argentina,Portugal,7
Argentina,Puerto Rico,1
Argentina,Qatar,1
Argentina,South Korea,4
Argentina,Romania,18
Argentina,Russia,18
Argentina,Serbia,5
Argentina,Singapore,4
Argentina,Slovakia,1
Argentina,Slovenia,3
Argentina,South Africa,8
Argentina,Spain,40
Argentina,Sweden,15
Argentina,Switzerland,47
Argentina,Thailand,3
Argentina,Turkey,3
Argentina,Ukraine,11
Argentina,United Arab Emirates,2
Argentina,United Kingdom,188
Argentina,United States,339
Argentina,Uruguay,13
Argentina,Vietnam,1
Armenia,Armenia,3
Armenia,Australia,1
Armenia,Finland,1
Armenia,France,3
Armenia,Germany,7
Armenia,Ireland,1
Armenia,Japan,1
Armenia,Netherlands,1
Armenia,New Zealand,1
Armenia,Switzerland,1
Armenia,United Kingdom,1
Armenia,United States,2
Australia,Argentina,13
Australia,Australia,6924
Australia,Austria,58
Australia,Azerbaijan,1
Australia,Bahrain,2
Australia,Belarus,7
Australia,Belgium,111
Australia,Bermuda,2
Australia,Bolivia,3
Australia,Bosnia and Herzegovina,1
Australia,Brazil,28
Australia,Brunei Darussalam,2
Australia,Bulgaria,11
Australia,Cambodia,3
Australia,Canada,554
Australia,Cayman Islands,1
Australia,Chile,21
Australia,China,37
Australia,Colombia,11
Australia,Costa Rica,4
Australia,Croatia,25
Australia,Cyprus,6
Australia,Czech Republic,48
Australia,Denmark,49
